region,period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
17000000000 Владимирская область,122 январь-март,"1,697","1,645","1,916","1,952","1,503","1,742","1,574","1,872","1,905","1,553","1,459","1,343","1,248","1,302","1,245"
17000000000 Владимирская область,61 апрель,779,"1,100",497,981,"1,398",867,969,435,882,951,331,762,668,347,182
17000000000 Владимирская область,117 январь-апрель,"2,476","2,745","2,413","2,933","2,901","2,609","2,543","2,307","2,787","2,504","1,790","2,105","1,916","1,649","1,427"
17000000000 Владимирская область,67 май,292,308,477,381,331,364,336,414,429,349,362,270,279,323,49
17000000000 Владимирская область,121 январь-май,"2,768","3,053","2,890","3,314","3,232","2,973","2,879","2,721","3,216","2,853","2,152","2,375","2,195","1,972","1,476"
17000000000 Владимирская область,66 июнь,"1,098","1,132","1,296","1,136",986,"1,378","1,315","1,481","1,315","1,036","1,124","1,010",935,"1,024",629
17000000000 Владимирская область,120 январь-июнь,"3,866","4,185","4,186","4,450","4,218","4,351","4,194","4,202","4,531","3,889","3,276","3,385","3,130","2,996","2,105"
17000000000 Владимирская область,65 июль,"1,397","1,653","1,343","1,511","1,865","1,737","1,592","1,540","1,494","1,556","1,522","1,674","1,187","1,112",985
17000000000 Владимирская область,119 январь-июль,"5,263","5,838","5,529","5,961","6,083","6,088","5,786","5,742","6,025","5,445","4,798","5,059","4,317","4,108","3,090"
17000000000 Владимирская область,60 август,"1,689","1,821","2,096","1,743","1,637","1,727","1,830","2,013","1,853","1,705","1,311","1,291","1,563","1,375","1,247"
17000000000 Владимирская область,116 январь-август,"6,952","7,659","7,625","7,704","7,720","7,815","7,616","7,755","7,878","7,150","6,109","6,350","5,880","5,483","4,337"
17000000000 Владимирская область,108 сентябрь,"1,707","1,723","1,471","1,525","1,516","1,868","1,531","1,365","1,384","1,314","1,175","1,130","1,014",948,840
17000000000 Владимирская область,125 январь-сентябрь,"8,659","9,382","9,096","9,229","9,236","9,683","9,147","9,120","9,262","8,464","7,284","7,480","6,894","6,431","5,177"
