region,period,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
97000000000 Чувашская Республика - Чувашия,61 апрель,531,818,386,587,914,569,667,278,581,665,242,499,483,262,283
97000000000 Чувашская Республика - Чувашия,117 январь-апрель,"2,192","2,451","2,033","2,249","2,297","2,163","2,006","1,961","2,160","2,035","1,434","1,691","1,466","1,248","1,169"
97000000000 Чувашская Республика - Чувашия,67 май,294,308,398,343,346,337,339,391,382,339,345,262,260,242,93
97000000000 Чувашская Республика - Чувашия,121 январь-май,"2,486","2,759","2,431","2,592","2,643","2,500","2,345","2,352","2,542","2,374","1,779","1,953","1,726","1,490","1,262"
97000000000 Чувашская Республика - Чувашия,66 июнь,770,838,946,839,710,"1,010",877,"1,121",916,803,807,719,624,720,343
97000000000 Чувашская Республика - Чувашия,120 январь-июнь,"3,256","3,597","3,377","3,431","3,353","3,510","3,222","3,473","3,458","3,177","2,586","2,672","2,350","2,210","1,605"
97000000000 Чувашская Республика - Чувашия,65 июль,"1,024","1,299",970,"1,016","1,349","1,258","1,183","1,166","1,206","1,180","1,034","1,174",894,841,635
97000000000 Чувашская Республика - Чувашия,119 январь-июль,"4,280","4,896","4,347","4,447","4,702","4,768","4,405","4,639","4,664","4,357","3,620","3,846","3,244","3,051","2,240"
97000000000 Чувашская Республика - Чувашия,60 август,"1,397","1,529","1,610","1,457","1,338","1,423","1,502","1,563","1,665","1,380",986,"1,056","1,123","1,079",788
97000000000 Чувашская Республика - Чувашия,116 январь-август,"5,677","6,425","5,957","5,904","6,040","6,191","5,907","6,202","6,329","5,737","4,606","4,902","4,367","4,130","3,028"
97000000000 Чувашская Республика - Чувашия,108 сентябрь,"1,342","1,455","1,154","1,120","1,201","1,498","1,315","1,286","1,133","1,037",809,943,782,711,556
97000000000 Чувашская Республика - Чувашия,125 январь-сентябрь,"7,019","7,880","7,111","7,024","7,241","7,689","7,222","7,488","7,462","6,774","5,415","5,845","5,149","4,841","3,584"
97000000000 Чувашская Республика - Чувашия,105 октябрь,712,872,861,764,881,"1,010",676,676,691,659,489,501,464,466,422
97000000000 Чувашская Республика - Чувашия,124 январь-октябрь,"7,731","8,752","7,972","7,788","8,122","8,699","7,898","8,164","8,153","7,433","5,904","6,346","5,613","5,307","4,006"
97000000000 Чувашская Республика - Чувашия,104 ноябрь,890,"1,240",836,785,786,"1,177",790,665,643,750,421,455,448,552,300
97000000000 Чувашская Республика - Чувашия,123 январь-ноябрь,"8,621","9,992","8,808","8,573","8,908","9,876","8,688","8,829","8,796","8,183","6,325","6,801","6,061","5,859","4,306"
97000000000 Чувашская Республика - Чувашия,62 декабрь,526,914,517,454,461,889,561,457,475,620,316,369,358,451,307
97000000000 Чувашская Республика - Чувашия,118 январь-декабрь,"9,147","10,906","9,325","9,027","9,369","10,765","9,249","9,286","9,271","8,803","6,641","7,170","6,419","6,310","4,613"
57000000000 Пермский край,115 январь,955,"1,026",907,"1,131","1,180","1,098",995,"1,075","1,179","1,073",833,968,970,797,735
57000000000 Пермский край,114 февраль,"1,088","1,210","1,326","1,522","1,316","1,462","1,336","1,440","1,674","1,250","1,168","1,307","1,044","1,027","1,302"
57000000000 Пермский край,M01_02 январь-февраль,"2,043","2,236","2,233","2,653","2,496","2,560","2,331","2,515","2,853","2,323","2,001","2,275","2,014","1,824","2,037"
57000000000 Пермский край,68 март,"1,375","1,349","1,387","1,321","1,410","1,492","1,292","1,868","1,303","1,220","1,195","1,293","1,163","1,132",857
57000000000 Пермский край,122 январь-март,"3,418","3,585","3,620","3,974","3,906","4,052","3,623","4,383","4,156","3,543","3,196","3,568","3,177","2,956","2,894"
57000000000 Пермский край,61 апрель,"1,367","1,711","1,369","1,782","2,163","1,690","1,753","1,587","1,755","1,683","1,155","1,373","1,312","1,149",530
57000000000 Пермский край,117 январь-апрель,"4,785","5,296","4,989","5,756","6,069","5,742","5,376","5,970","5,911","5,226","4,351","4,941","4,489","4,105","3,424"
57000000000 Пермский край,67 май,459,493,679,615,604,663,725,780,737,679,655,680,670,576,213
57000000000 Пермский край,121 январь-май,"5,244","5,789","5,668","6,371","6,673","6,405","6,101","6,750","6,648","5,905","5,006","5,621","5,159","4,681","3,637"
57000000000 Пермский край,66 июнь,"1,945","2,026","2,064","2,223","2,346","2,610","2,749","2,653","2,540","2,257","2,025","2,158","1,837","1,763","1,103"
57000000000 Пермский край,120 январь-июнь,"7,189","7,815","7,732","8,594","9,019","9,015","8,850","9,403","9,188","8,162","7,031","7,779","6,996","6,444","4,740"
57000000000 Пермский край,65 июль,"2,088","2,672","2,122","2,662","3,118","3,396","2,902","3,014","2,875","2,972","2,567","2,984","2,184","2,183","1,706"
57000000000 Пермский край,119 январь-июль,"9,277","10,487","9,854","11,256","12,137","12,411","11,752","12,417","12,063","11,134","9,598","10,763","9,180","8,627","6,446"
57000000000 Пермский край,60 август,"2,655","3,072","3,737","2,876","2,996","3,278","3,493","3,681","3,584","2,943","2,417","2,492","2,885","2,379","1,969"
57000000000 Пермский край,116 январь-август,"11,932","13,559","13,591","14,132","15,133","15,689","15,245","16,098","15,647","14,077","12,015","13,255","12,065","11,006","8,415"
57000000000 Пермский край,108 сентябрь,"2,455","2,410","2,154","2,636","2,611","3,217","2,485","2,550","2,470","2,199","1,947","1,976","1,763","1,779","1,527"
57000000000 Пермский край,125 январь-сентябрь,"14,387","15,969","15,745","16,768","17,744","18,906","17,730","18,648","18,117","16,276","13,962","15,231","13,828","12,785","9,942"
57000000000 Пермский край,105 октябрь,"1,484","1,844","1,754","1,984","2,061","1,879","1,649","1,738","1,839","1,601","1,238","1,300",857,"1,235","1,239"
57000000000 Пермский край,124 январь-октябрь,"15,871","17,813","17,499","18,752","19,805","20,785","19,379","20,386","19,956","17,877","15,200","16,531","14,685","14,020","11,181"
57000000000 Пермский край,104 ноябрь,"1,436","2,151","1,518","1,519","1,668","2,581","1,780","1,740","1,504","1,536","1,238","1,415",852,"1,304",933
57000000000 Пермский край,123 январь-ноябрь,"17,307","19,964","19,017","20,271","21,473","23,366","21,159","22,126","21,460","19,413","16,438","17,946","15,537","15,324","12,114"
57000000000 Пермский край,62 декабрь,"1,532","2,518","1,582","1,616","1,720","2,597","1,924","1,646","1,679","2,244","1,128","1,375",912,"1,503",944
57000000000 Пермский край,118 январь-декабрь,"18,839","22,482","20,599","21,887","23,193","25,963","23,083","23,772","23,139","21,657","17,566","19,321","16,449","16,827","13,058"
"            57100000000 Коми-Пермяцкий округ, входящий в состав Пермского края",115 январь,"",41,20,43,37,"","","","","","","","","",""
"            57100000000 Коми-Пермяцкий округ, входящий в состав Пермского края",114 февраль,"",41,38,57,45,"","","","","","","","","",""
"            57100000000 Коми-Пермяцкий округ, входящий в состав Пермского края",M01_02 январь-февраль,"",82,58,100,82,"","","","","","","","","",""
"            57100000000 Коми-Пермяцкий округ, входящий в состав Пермского края",68 март,"",44,50,40,51,"","","","","","","","","",""
"            57100000000 Коми-Пермяцкий округ, входящий в состав Пермского края",122 январь-март,"",126,108,140,133,"","","","","","","","","",""
"            57100000000 Коми-Пермяцкий округ, входящий в состав Пермского края",61 апрель,"",62,57,70,96,"","","","","","","","","",""
"            57100000000 Коми-Пермяцкий округ, входящий в состав Пермского края",117 январь-апрель,"",188,165,210,229,"","","","","","","","","",""
"            57100000000 Коми-Пермяцкий округ, входящий в состав Пермского края",67 май,"",8,22,32,17,"","","","","","","","","",""
"            57100000000 Коми-Пермяцкий округ, входящий в состав Пермского края",121 январь-май,"",196,187,242,246,"","","","","","","","","",""
"            57100000000 Коми-Пермяцкий округ, входящий в состав Пермского края",66 июнь,"",59,74,66,73,"","","","","","","","","",""
"            57100000000 Коми-Пермяцкий округ, входящий в состав Пермского края",120 январь-июнь,"",255,261,308,319,"","","","","","","","","",""
"            57100000000 Коми-Пермяцкий округ, входящий в состав Пермского края",65 июль,"",110,58,89,92,"","","","","","","","","",""
"            57100000000 Коми-Пермяцкий округ, входящий в состав Пермского края",119 январь-июль,"",365,319,397,411,"","","","","","","","","",""
"            57100000000 Коми-Пермяцкий округ, входящий в состав Пермского края",60 август,"",100,143,87,105,"","","","","","","","","",""
"            57100000000 Коми-Пермяцкий округ, входящий в состав Пермского края",116 январь-август,"",465,462,484,516,"","","","","","","","","",""
"            57100000000 Коми-Пермяцкий округ, входящий в состав Пермского края",108 сентябрь,"",60,79,87,83,"","","","","","","","","",""
"            57100000000 Коми-Пермяцкий округ, входящий в состав Пермского края",125 январь-сентябрь,"",525,541,571,599,"","","","","","","","","",""
"            57100000000 Коми-Пермяцкий округ, входящий в состав Пермского края",105 октябрь,"",44,48,53,47,"","","","","","","","","",""
"            57100000000 Коми-Пермяцкий округ, входящий в состав Пермского края",124 январь-октябрь,"",569,589,624,646,"","","","","","","","","",""
"            57100000000 Коми-Пермяцкий округ, входящий в состав Пермского края",104 ноябрь,"",76,42,56,63,"","","","","","","","","",""
"            57100000000 Коми-Пермяцкий округ, входящий в состав Пермского края",123 январь-ноябрь,"",645,631,680,709,"","","","","","","","","",""
"            57100000000 Коми-Пермяцкий округ, входящий в состав Пермского края",62 декабрь,"",121,93,63,65,"","","","","","","","","",""
"            57100000000 Коми-Пермяцкий округ, входящий в состав Пермского края",118 январь-декабрь,"",766,724,743,774,"","","","","","","","","",""
33000000000 Кировская область,115 январь,487,456,425,490,489,484,441,507,479,461,328,307,347,306,324
33000000000 Кировская область,114 февраль,561,606,644,685,675,648,608,652,701,524,486,486,403,356,455
33000000000 Кировская область,M01_02 январь-февраль,"1,048","1,062","1,069","1,175","1,164","1,132","1,049","1,159","1,180",985,814,793,750,662,779
33000000000 Кировская область,68 март,710,722,701,564,570,712,596,800,596,496,530,499,412,455,360
33000000000 Кировская область,122 январь-март,"1,758","1,784","1,770","1,739","1,734","1,844","1,645","1,959","1,776","1,481","1,344","1,292","1,162","1,117","1,139"
33000000000 Кировская область,61 апрель,787,905,689,854,"1,040",844,839,670,767,736,435,496,516,428,312
33000000000 Кировская область,117 январь-апрель,"2,545","2,689","2,459","2,593","2,774","2,688","2,484","2,629","2,543","2,217","1,779","1,788","1,678","1,545","1,451"
33000000000 Кировская область,67 май,270,256,338,276,303,348,331,348,354,323,309,311,299,279,139
33000000000 Кировская область,121 январь-май,"2,815","2,945","2,797","2,869","3,077","3,036","2,815","2,977","2,897","2,540","2,088","2,099","1,977","1,824","1,590"
33000000000 Кировская область,66 июнь,"1,004","1,069","1,021","1,016","1,112","1,189","1,235","1,206","1,081",984,886,821,762,675,508
33000000000 Кировская область,120 январь-июнь,"3,819","4,014","3,818","3,885","4,189","4,225","4,050","4,183","3,978","3,524","2,974","2,920","2,739","2,499","2,098"
33000000000 Кировская область,65 июль,"1,180","1,397","1,143","1,369","1,542","1,581","1,433","1,367","1,288","1,307","1,029","1,104",813,905,748
33000000000 Кировская область,119 январь-июль,"4,999","5,411","4,961","5,254","5,731","5,806","5,483","5,550","5,266","4,831","4,003","4,024","3,552","3,404","2,846"
33000000000 Кировская область,60 август,"1,436","1,645","1,735","1,466","1,473","1,686","1,721","1,647","1,566","1,258","1,085","1,079","1,110",947,828
33000000000 Кировская область,116 январь-август,"6,435","7,056","6,696","6,720","7,204","7,492","7,204","7,197","6,832","6,089","5,088","5,103","4,662","4,351","3,674"
33000000000 Кировская область,108 сентябрь,"1,284","1,287","1,172","1,246","1,294","1,475","1,233","1,282","1,148","1,043",897,806,719,725,652
33000000000 Кировская область,125 январь-сентябрь,"7,719","8,343","7,868","7,966","8,498","8,967","8,437","8,479","7,980","7,132","5,985","5,909","5,381","5,076","4,326"
33000000000 Кировская область,105 октябрь,781,884,959,934,"1,020",948,809,839,805,699,510,525,399,597,534
33000000000 Кировская область,124 январь-октябрь,"8,500","9,227","8,827","8,900","9,518","9,915","9,246","9,318","8,785","7,831","6,495","6,434","5,780","5,673","4,860"
33000000000 Кировская область,104 ноябрь,735,"1,082",759,716,760,"1,021",796,776,581,610,475,509,394,541,378
33000000000 Кировская область,123 январь-ноябрь,"9,235","10,309","9,586","9,616","10,278","10,936","10,042","10,094","9,366","8,441","6,970","6,943","6,174","6,214","5,238"
33000000000 Кировская область,62 декабрь,824,"1,251",725,819,806,"1,160",879,741,793,882,451,494,390,559,405
33000000000 Кировская область,118 январь-декабрь,"10,059","11,560","10,311","10,435","11,084","12,096","10,921","10,835","10,159","9,323","7,421","7,437","6,564","6,773","5,643"
22000000000 Нижегородская область,115 январь,"1,357","1,383","1,365","1,484","1,447","1,254","1,240","1,257","1,367","1,321","1,091","1,123","1,133",946,784
22000000000 Нижегородская область,114 февраль,"1,480","1,537","1,735","1,960","1,291","1,643","1,831","1,520","2,000","1,527","1,219","1,524","1,188","1,134","1,389"
22000000000 Нижегородская область,M01_02 январь-февраль,"2,837","2,920","3,100","3,444","2,738","2,897","3,071","2,777","3,367","2,848","2,310","2,647","2,321","2,080","2,173"
22000000000 Нижегородская область,68 март,"1,245",810,"1,578",802,734,"1,336",719,"1,929","1,044",790,"1,355",802,706,"1,108",710
22000000000 Нижегородская область,122 январь-март,"4,082","3,730","4,678","4,246","3,472","4,233","3,790","4,706","4,411","3,638","3,665","3,449","3,027","3,188","2,883"
22000000000 Нижегородская область,61 апрель,"1,566","2,493",891,"2,044","2,985","1,705","2,247",761,"2,070","2,320",699,"1,845","1,891",755,439
22000000000 Нижегородская область,117 январь-апрель,"5,648","6,223","5,569","6,290","6,457","5,938","6,037","5,467","6,481","5,958","4,364","5,294","4,918","3,943","3,322"
22000000000 Нижегородская область,67 май,781,728,"1,098",884,812,"1,004",885,"1,157","1,036",932,"1,122",835,818,976,169
22000000000 Нижегородская область,121 январь-май,"6,429","6,951","6,667","7,174","7,269","6,942","6,922","6,624","7,517","6,890","5,486","6,129","5,736","4,919","3,491"
22000000000 Нижегородская область,66 июнь,"2,632","2,438","2,877","2,426","1,916","3,048","2,822","3,486","2,942","2,446","2,929","2,409","1,931","2,311","1,672"
22000000000 Нижегородская область,120 январь-июнь,"9,061","9,389","9,544","9,600","9,185","9,990","9,744","10,110","10,459","9,336","8,415","8,538","7,667","7,230","5,163"
22000000000 Нижегородская область,65 июль,"3,217","3,690","3,249","3,428","4,117","3,784","3,652","3,653","3,831","3,821","3,387","3,975","2,996","2,979","2,484"
22000000000 Нижегородская область,119 январь-июль,"12,278","13,079","12,793","13,028","13,302","13,774","13,396","13,763","14,290","13,157","11,802","12,513","10,663","10,209","7,647"
22000000000 Нижегородская область,60 август,"3,619","4,073","4,544","3,750","3,439","3,735","4,220","4,318","4,243","3,858","3,139","3,414","3,801","3,035","2,739"
22000000000 Нижегородская область,116 январь-август,"15,897","17,152","17,337","16,778","16,741","17,509","17,616","18,081","18,533","17,015","14,941","15,927","14,464","13,244","10,386"
22000000000 Нижегородская область,108 сентябрь,"4,125","3,838","3,446","3,615","3,777","4,429","3,835","3,531","3,313","3,217","2,756","2,751","2,408","2,316","2,149"
22000000000 Нижегородская область,125 январь-сентябрь,"20,022","20,990","20,783","20,393","20,518","21,938","21,451","21,612","21,846","20,232","17,697","18,678","16,872","15,560","12,535"
22000000000 Нижегородская область,105 октябрь,"2,068","2,404","2,387","2,223","2,422","2,386","2,143","2,178","2,175","1,960","1,440","1,530",988,"1,506","1,538"
22000000000 Нижегородская область,124 январь-октябрь,"22,090","23,394","23,170","22,616","22,940","24,324","23,594","23,790","24,021","22,192","19,137","20,208","17,860","17,066","14,073"
22000000000 Нижегородская область,104 ноябрь,"2,016","2,440","1,943","1,819","1,922","2,627","1,927","1,924","1,754","1,793","1,405","1,576",939,"1,432","1,089"
22000000000 Нижегородская область,123 январь-ноябрь,"24,106","25,834","25,113","24,435","24,862","26,951","25,521","25,714","25,775","23,985","20,542","21,784","18,799","18,498","15,162"
22000000000 Нижегородская область,62 декабрь,"1,074","1,479","1,090","1,164","1,250","1,539","1,517","1,244","1,382","1,545","1,020","1,076",816,"1,074",948
22000000000 Нижегородская область,118 январь-декабрь,"25,180","27,313","26,203","25,599","26,112","28,490","27,038","26,958","27,157","25,530","21,562","22,860","19,615","19,572","16,110"
53000000000 Оренбургская область,115 январь,912,947,875,"1,011",938,890,831,861,912,764,660,697,669,612,579
53000000000 Оренбургская область,114 февраль,984,949,959,"1,244","1,023","1,018","1,057","1,002","1,095",954,719,863,766,670,870
53000000000 Оренбургская область,M01_02 январь-февраль,"1,896","1,896","1,834","2,255","1,961","1,908","1,888","1,863","2,007","1,718","1,379","1,560","1,435","1,282","1,449"
53000000000 Оренбургская область,68 март,921,688,"1,153",803,699,"1,007",749,"1,415",873,634,844,702,667,788,582
53000000000 Оренбургская область,122 январь-март,"2,817","2,584","2,987","3,058","2,660","2,915","2,637","3,278","2,880","2,352","2,223","2,262","2,102","2,070","2,031"
53000000000 Оренбургская область,61 апрель,"1,216","1,644",848,"1,400","1,829","1,332","1,414",849,"1,409","1,435",699,"1,149","1,088",714,543
53000000000 Оренбургская область,117 январь-апрель,"4,033","4,228","3,835","4,458","4,489","4,247","4,051","4,127","4,289","3,787","2,922","3,411","3,190","2,784","2,574"
53000000000 Оренбургская область,67 май,417,487,721,485,437,495,561,615,632,520,531,454,474,516,228
53000000000 Оренбургская область,121 январь-май,"4,450","4,715","4,556","4,943","4,926","4,742","4,612","4,742","4,921","4,307","3,453","3,865","3,664","3,300","2,802"
53000000000 Оренбургская область,66 июнь,"1,666","1,570","1,761","1,697","1,584","1,957","2,024","2,300","1,881","1,530","1,637","1,401","1,321","1,437",961
53000000000 Оренбургская область,120 январь-июнь,"6,116","6,285","6,317","6,640","6,510","6,699","6,636","7,042","6,802","5,837","5,090","5,266","4,985","4,737","3,763"
53000000000 Оренбургская область,65 июль,"1,988","2,266","1,882","1,927","2,421","2,300","2,199","2,169","1,961","1,822","1,764","2,074","1,598","1,521","1,327"
53000000000 Оренбургская область,119 январь-июль,"8,104","8,551","8,199","8,567","8,931","8,999","8,835","9,211","8,763","7,659","6,854","7,340","6,583","6,258","5,090"
53000000000 Оренбургская область,60 август,"2,430","2,742","3,041","2,631","2,301","2,353","2,595","2,664","2,709","2,268","1,889","1,873","2,155","1,664","1,581"
53000000000 Оренбургская область,116 январь-август,"10,534","11,293","11,240","11,198","11,232","11,352","11,430","11,875","11,472","9,927","8,743","9,213","8,738","7,922","6,671"
53000000000 Оренбургская область,108 сентябрь,"2,429","2,446","1,961","2,323","2,257","2,622","2,391","2,241","2,020","1,906","1,511","1,593","1,466","1,425","1,317"
53000000000 Оренбургская область,125 январь-сентябрь,"12,963","13,739","13,201","13,521","13,489","13,974","13,821","14,116","13,492","11,833","10,254","10,806","10,204","9,347","7,988"
53000000000 Оренбургская область,105 октябрь,"1,444","1,659","1,650","1,694","1,797","1,803","1,582","1,494","1,471","1,336","1,013","1,095",999,"1,067","1,154"
53000000000 Оренбургская область,124 январь-октябрь,"14,407","15,398","14,851","15,215","15,286","15,777","15,403","15,610","14,963","13,169","11,267","11,901","11,203","10,414","9,142"
53000000000 Оренбургская область,104 ноябрь,"1,350","1,637","1,429","1,297","1,354","1,800","1,283","1,258","1,167","1,102",834,939,850,974,719
53000000000 Оренбургская область,123 январь-ноябрь,"15,757","17,035","16,280","16,512","16,640","17,577","16,686","16,868","16,130","14,271","12,101","12,840","12,053","11,388","9,861"
53000000000 Оренбургская область,62 декабрь,897,"1,431",963,"1,012",973,"1,365","1,187","1,008","1,035","1,147",791,855,813,916,755
53000000000 Оренбургская область,118 январь-декабрь,"16,654","18,466","17,243","17,524","17,613","18,942","17,873","17,876","17,165","15,418","12,892","13,695","12,866","12,304","10,616"
56000000000 Пензенская область,115 январь,649,670,584,688,710,557,539,521,556,519,389,392,410,366,320
56000000000 Пензенская область,114 февраль,742,729,714,889,551,670,719,610,718,634,431,560,419,377,528
56000000000 Пензенская область,M01_02 январь-февраль,"1,391","1,399","1,298","1,577","1,261","1,227","1,258","1,131","1,274","1,153",820,952,829,743,848
56000000000 Пензенская область,68 март,578,394,800,349,316,546,365,867,462,307,500,312,285,500,242
56000000000 Пензенская область,122 январь-март,"1,969","1,793","2,098","1,926","1,577","1,773","1,623","1,998","1,736","1,460","1,320","1,264","1,114","1,243","1,090"
56000000000 Пензенская область,61 апрель,724,"1,141",420,870,"1,220",811,977,357,787,857,265,715,638,283,315
56000000000 Пензенская область,117 январь-апрель,"2,693","2,934","2,518","2,796","2,797","2,584","2,600","2,355","2,523","2,317","1,585","1,979","1,752","1,526","1,405"
56000000000 Пензенская область,67 май,296,308,524,368,333,323,309,367,403,315,359,254,224,297,123
56000000000 Пензенская область,121 январь-май,"2,989","3,242","3,042","3,164","3,130","2,907","2,909","2,722","2,926","2,632","1,944","2,233","1,976","1,823","1,528"
56000000000 Пензенская область,66 июнь,995,970,"1,181",995,756,"1,112","1,222","1,389","1,047",892,965,855,738,870,492
56000000000 Пензенская область,120 январь-июнь,"3,984","4,212","4,223","4,159","3,886","4,019","4,131","4,111","3,973","3,524","2,909","3,088","2,714","2,693","2,020"
56000000000 Пензенская область,65 июль,"1,170","1,432","1,153","1,197","1,576","1,364","1,352","1,146","1,152","1,224","1,187","1,269","1,016",945,804
56000000000 Пензенская область,119 январь-июль,"5,154","5,644","5,376","5,356","5,462","5,383","5,483","5,257","5,125","4,748","4,096","4,357","3,730","3,638","2,824"
56000000000 Пензенская область,60 август,"1,359","1,574","1,881","1,549","1,376","1,309","1,497","1,667","1,642","1,491","1,088","1,120","1,206","1,093","1,076"
56000000000 Пензенская область,116 январь-август,"6,513","7,218","7,257","6,905","6,838","6,692","6,980","6,924","6,767","6,239","5,184","5,477","4,936","4,731","3,900"
56000000000 Пензенская область,108 сентябрь,"1,699","1,747","1,327","1,459","1,513","1,847","1,576","1,423","1,134","1,171",950,"1,114",940,878,840
56000000000 Пензенская область,125 январь-сентябрь,"8,212","8,965","8,584","8,364","8,351","8,539","8,556","8,347","7,901","7,410","6,134","6,591","5,876","5,609","4,740"
56000000000 Пензенская область,105 октябрь,911,"1,040","1,011","1,023","1,111","1,204",825,810,846,803,681,583,336,589,519
56000000000 Пензенская область,124 январь-октябрь,"9,123","10,005","9,595","9,387","9,462","9,743","9,381","9,157","8,747","8,213","6,815","7,174","6,212","6,198","5,259"
56000000000 Пензенская область,104 ноябрь,919,"1,285",906,790,794,"1,107",839,837,690,659,476,531,378,542,407
56000000000 Пензенская область,123 январь-ноябрь,"10,042","11,290","10,501","10,177","10,256","10,850","10,220","9,994","9,437","8,872","7,291","7,705","6,590","6,740","5,666"
56000000000 Пензенская область,62 декабрь,527,740,496,502,516,691,569,508,478,569,372,448,329,471,320
56000000000 Пензенская область,118 январь-декабрь,"10,569","12,030","10,997","10,679","10,772","11,541","10,789","10,502","9,915","9,441","7,663","8,153","6,919","7,211","5,986"
36000000000 Самарская область,115 январь,"1,206","1,314","1,248","1,368","1,292","1,309","1,160","1,159","1,272","1,264","1,073","1,015",915,751,742
36000000000 Самарская область,114 февраль,"1,441","1,589","1,439","1,865","1,366","1,556","1,604","1,401","1,767","1,436","1,051","1,357","1,043",940,"1,315"
36000000000 Самарская область,M01_02 январь-февраль,"2,647","2,903","2,687","3,233","2,658","2,865","2,764","2,560","3,039","2,700","2,124","2,372","1,958","1,691","2,057"
36000000000 Самарская область,68 март,"1,365","1,096","1,819","1,248",897,"1,372","1,039","2,018","1,281",904,"1,288","1,019",992,"1,278",894
36000000000 Самарская область,122 январь-март,"4,012","3,999","4,506","4,481","3,555","4,237","3,803","4,578","4,320","3,604","3,412","3,391","2,950","2,969","2,951"
36000000000 Самарская область,61 апрель,"1,788","2,490","1,329","2,295","2,809","2,011","2,219","1,211","2,057","2,114","1,007","1,806","1,703",928,883
36000000000 Самарская область,117 январь-апрель,"5,800","6,489","5,835","6,776","6,364","6,248","6,022","5,789","6,377","5,718","4,419","5,197","4,653","3,897","3,834"
36000000000 Самарская область,67 май,716,743,"1,174",909,790,975,798,"1,075","1,137",945,945,729,714,852,334
36000000000 Самарская область,121 январь-май,"6,516","7,232","7,009","7,685","7,154","7,223","6,820","6,864","7,514","6,663","5,364","5,926","5,367","4,749","4,168"
36000000000 Самарская область,66 июнь,"2,620","2,871","2,989","2,586","2,519","3,272","3,375","3,640","3,175","2,622","2,679","2,578","2,229","2,474","1,543"
36000000000 Самарская область,120 январь-июнь,"9,136","10,103","9,998","10,271","9,673","10,495","10,195","10,504","10,689","9,285","8,043","8,504","7,596","7,223","5,711"
36000000000 Самарская область,65 июль,"3,087","3,651","3,017","3,160","3,974","3,758","3,509","3,269","3,348","3,433","3,347","3,702","2,642","2,630","2,170"
36000000000 Самарская область,119 январь-июль,"12,223","13,754","13,015","13,431","13,647","14,253","13,704","13,773","14,037","12,718","11,390","12,206","10,238","9,853","7,881"
36000000000 Самарская область,60 август,"3,863","4,335","5,100","4,235","3,843","4,027","4,494","4,884","4,787","4,136","3,159","3,280","3,737","3,208","2,772"
36000000000 Самарская область,116 январь-август,"16,086","18,089","18,115","17,666","17,490","18,280","18,198","18,657","18,824","16,854","14,549","15,486","13,975","13,061","10,653"
36000000000 Самарская область,108 сентябрь,"4,140","4,258","3,515","3,626","3,816","4,767","4,075","3,804","3,509","3,317","2,849","2,889","2,642","2,468","2,115"
36000000000 Самарская область,125 январь-сентябрь,"20,226","22,347","21,630","21,292","21,306","23,047","22,273","22,461","22,333","20,171","17,398","18,375","16,617","15,529","12,768"
36000000000 Самарская область,105 октябрь,"2,237","2,476","2,485","2,493","2,804","2,700","2,158","2,120","2,320","2,197","1,726","1,546",899,"1,717","1,759"
36000000000 Самарская область,124 январь-октябрь,"22,463","24,823","24,115","23,785","24,110","25,747","24,431","24,581","24,653","22,368","19,124","19,921","17,516","17,246","14,527"
36000000000 Самарская область,104 ноябрь,"1,904","2,447","2,139","1,683","1,854","2,486","1,883","1,930","1,737","1,665","1,206","1,366",851,"1,513","1,021"
36000000000 Самарская область,123 январь-ноябрь,"24,367","27,270","26,254","25,468","25,964","28,233","26,314","26,511","26,390","24,033","20,330","21,287","18,367","18,759","15,548"
36000000000 Самарская область,62 декабрь,"1,539","2,140","1,436","1,483","1,491","1,996","1,865","1,537","1,507","1,761","1,223","1,263",973,"1,336",993
36000000000 Самарская область,118 январь-декабрь,"25,906","29,410","27,690","26,951","27,455","30,229","28,179","28,048","27,897","25,794","21,553","22,550","19,340","20,095","16,541"
63000000000 Саратовская область,115 январь,940,975,829,"1,081","1,072",943,816,871,"1,035",889,748,692,682,619,530
63000000000 Саратовская область,114 февраль,"1,087","1,170","1,111","1,398","1,011","1,082","1,098","1,028","1,197",923,818,942,760,668,908
63000000000 Саратовская область,M01_02 январь-февраль,"2,027","2,145","1,940","2,479","2,083","2,025","1,914","1,899","2,232","1,812","1,566","1,634","1,442","1,287","1,438"
63000000000 Саратовская область,68 март,"1,024",845,"1,391",857,736,"1,023",769,"1,464",959,657,895,652,657,872,572
63000000000 Саратовская область,122 январь-март,"3,051","2,990","3,331","3,336","2,819","3,048","2,683","3,363","3,191","2,469","2,461","2,286","2,099","2,159","2,010"
63000000000 Саратовская область,61 апрель,"1,387","1,928",863,"1,481","2,103","1,508","1,563",822,"1,485","1,374",737,"1,243","1,141",622,553
63000000000 Саратовская область,117 январь-апрель,"4,438","4,918","4,194","4,817","4,922","4,556","4,246","4,185","4,676","3,843","3,198","3,529","3,240","2,781","2,563"
63000000000 Саратовская область,67 май,532,549,899,759,612,668,664,815,720,649,673,497,434,626,190
63000000000 Саратовская область,121 январь-май,"4,970","5,467","5,093","5,576","5,534","5,224","4,910","5,000","5,396","4,492","3,871","4,026","3,674","3,407","2,753"
63000000000 Саратовская область,66 июнь,"1,787","1,970","2,128","1,861","1,685","2,063","2,273","2,407","2,125","1,758","1,717","1,579","1,596","1,555",943
